"Source:","/Users/karl/Workspace/KiCad/Crimps/crimps/k2.sch"
"Date:","Thursday, November 18, 2021 at 08:59:49 PM"
"Tool:","Eeschema (5.1.10-1-10_14)"
"Generator:","/private/var/folders/6g/062y2qc95n76y3fy2wkwz5l40000gn/T/AppTranslocation/AF1E8601-DF93-40C0-9ED7-950A2D177542/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","22u","k2-eagle-import:C-USC0805","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C2","22u","k2-eagle-import:C-USC0805","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C3","100p","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C4","100n","k2-eagle-import:C-USC0402","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C5","100n","k2-eagle-import:C-USC0402","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C6","100n","k2-eagle-import:C-USC0805","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C7","100n","k2-eagle-import:C-USC0805","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C8","100n","k2-eagle-import:C-USC0402","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C9","100n","k2-eagle-import:C-USC0402","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C10","4.7u","k2-eagle-import:C-USC0603","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C11","100n","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","C12","10n","device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","","D1","S1JL","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"","","D2","S1JL","Device:D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"","","D3","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D4","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D5","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D6","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D7","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D8","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D9","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D10","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D11","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","D12","1N4148","device:D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"","","IC1","TL074","Amplifier_Operational:TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"","","IC2","TL072","Amplifier_Operational:TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"","","IC3","TL074","Amplifier_Operational:TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
