"Source:","/Users/karl/Workspace/KiCad/Crimps/crimps/k2.kicad_sch"
"Date:","2024 August 26, Monday 20:46:26"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","81"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","22u","C-USC0805","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","",""
"C3","1","100p","C-device","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C4, C5, C6, C7, C8, C9, C11","7","100n","C-device","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C10","1","4.7u","C-USC0603","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C12","1","10n","C-device","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"D1, D2","2","S1JL","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","Diode","",""
"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","10","1N4148","D-device","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","",""
"IC1","1","TL074","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","",""
"IC2","1","TL072","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","",""
"IC3","1","OPA4171","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","",""
"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12","12","PJ301_THONKICONN6","PJ301_THONKICONN6","k2:WQP_PJ_301M6","","",""
"J13, J14, J15","3","Conn_01x05_Female","Conn_01x05_Female-Connector","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","",""
"J16, J17, J18","3","Conn_01x05_Male","Conn_01x05_Male-Connector","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","",""
"JP1","1","M05X2PTH","M05X2PTH","k2:AVR_ICSP","","",""
"Q1","1","MMBFJ309","Q_NJFET_SDG-device","Package_TO_SOT_SMD:SOT-23_Handsoldering","","",""
"Q2, Q3","2","MMBT3904","Q_NPN_BEC-device","Package_TO_SOT_SMD:SOT-23_Handsoldering","","",""
"R1, R2, R3, R4, R5, R6, R8","7","180","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R7, R14, R16, R17, R18, R28, R32","7","100k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R9, R10, R11, R12, R13, R15","6","200k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R19, R20, R21, R22","4","220k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R23, R25","2","10k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R24, R26, R29","3","1.0M","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R27","1","470K","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R30","1","470k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R31","1","4.7k","R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
